original_line,game_name,bgg_id,name,yearpublished,rank,bayesaverage,average,usersrated,is_expansion,abstracts_rank,cgs_rank,childrensgames_rank,familygames_rank,partygames_rank,strategygames_rank,thematic_rank,wargames_rank,status,rating_category,game_type,rank_display,image_filename
dungeon mayhem,dungeon mayhem,260300.0,Dungeon Mayhem,2018,1819,6.29816,6.86653,4401,0,,,,646.0,,,,,Found,Below Average (<6.5),Base Game,#1819,Dungeon Mayhem_2018_260300.jpg
glow,glow,275044.0,Glow,2021,1820,6.29811,6.96743,3077,0,,,,563.0,,,,,Found,Below Average (<6.5),Base Game,#1820,Glow_2021_275044.png
tokaido duo,tokaido duo,363183.0,Tokaido Duo,2022,1936,6.26053,7.37282,1616,0,,,,533.0,,,,,Found,Below Average (<6.5),Base Game,#1936,Tokaido Duo_2022_363183.jpg
flatiron,flatiron,409693.0,Flatiron,2024,1947,6.25752,7.55095,1345,0,,,,,,966.0,,,Found,Below Average (<6.5),Base Game,#1947,Flatiron_2024_409693.jpg
ubongo 3d,ubongo 3d,46396.0,Ubongo 3D,2009,1986,6.24855,7.07148,2132,0,,,,571.0,,,,,Found,Below Average (<6.5),Base Game,#1986,Ubongo 3D_2009_46396.jpg
everdell duo,everdell duo,425005.0,Everdell Duo,2025,2009,6.24091,7.71509,1184,0,,,,538.0,,1007.0,,,Found,Below Average (<6.5),Base Game,#2009,Everdell Duo_2025_425005.png
switch & signal,switch & signal,317311.0,Switch & Signal,2020,2045,6.23207,7.10621,1920,0,,,,591.0,,1042.0,,,Found,Below Average (<6.5),Base Game,#2045,Switch & Signal_2020_317311.jpg
nimalia,nimalia,361850.0,Nimalia,2023,2195,6.19491,7.03739,1897,0,,,,650.0,,,,,Found,Below Average (<6.5),Base Game,#2195,Nimalia_2023_361850.png
king tokyo duel,king tokyo duel,422484.0,King of Tokyo: Duel,2024,2233,6.18554,7.1307,1784,0,,,,656.0,,,,,No good match found,Below Average (<6.5),Base Game,#2233,King of Tokyo_ Duel_2024_422484.jpg
keltis,keltis,34585.0,Keltis,2008,2267,6.17419,6.42492,6807,0,,,,783.0,,,,,Found,Below Average (<6.5),Base Game,#2267,Keltis_2008_34585.jpg
